condition,symptom,probability
Acanthosis nigricans,fluid_retention,9.0
Acanthosis nigricans,infertility,17.0
Acanthosis nigricans,pain_or_soreness_of_breast,9.0
Acanthosis nigricans,skin_growth,9.0
Acanthosis nigricans,skin_lesion,34.0
Acanthosis nigricans,skin_moles,9.0
Acanthosis nigricans,unwanted_hair,9.0
Acanthosis nigricans,warts,9.0
Acanthosis nigricans,weight_gain,78.0
Acariasis,bowlegged_or_knock_kneed,4.0
Acariasis,cross_eyed,4.0
Acariasis,elbow_weakness,4.0
Acariasis,emotional_symptoms,4.0
Acariasis,excessive_growth,4.0
Acariasis,feeling_hot_and_cold,4.0
Acariasis,itching_of_skin,77.0
Acariasis,skin_lesion,49.0
Acariasis,skin_rash,91.0
Acariasis,swelling_of_scrotum,49.0
Acariasis,vomiting,49.0
Acariasis,wrist_weakness,4.0
Achalasia,back_pain,31.0
Achalasia,chest_tightness,13.0
Achalasia,cough,31.0
Achalasia,cramps_and_spasms,13.0
Achalasia,difficulty_in_swallowing,71.0
Achalasia,hoarse_voice,13.0
Achalasia,hurts_to_breath,23.0
Achalasia,lump_in_throat,13.0
Achalasia,regurgitation,31.0
Achalasia,rib_pain,13.0
Achalasia,sharp_chest_pain,80.0
Achalasia,throat_feels_tight,23.0
Acne,abnormal_appearing_skin,21.0
Acne,acne_or_pimples,94.0
Acne,irregular_appearing_scalp,4.0
Acne,long_menstrual_periods,3.0
Acne,nose_deformity,3.0
Acne,skin_dryness_peeling_scaliness_or_roughness,10.0
Acne,skin_growth,13.0
Acne,skin_moles,20.0
Acne,skin_rash,38.0
Acne,skin_swelling,17.0
Acne,too_little_hair,4.0
Acne,warts,10.0
Actinic keratosis,abnormal_appearing_skin,72.0
Actinic keratosis,irregular_appearing_scalp,24.0
Actinic keratosis,itching_of_skin,18.0
Actinic keratosis,skin_dryness_peeling_scaliness_or_roughness,54.0
Actinic keratosis,skin_growth,34.0
Actinic keratosis,skin_irritation,13.0
Actinic keratosis,skin_lesion,70.0
Actinic keratosis,skin_moles,21.0
Actinic keratosis,skin_rash,26.0
Actinic keratosis,skin_swelling,19.0
Actinic keratosis,symptoms_of_the_face,7.0
Actinic keratosis,warts,7.0
Acute bronchiolitis,coryza,41.0
Acute bronchiolitis,cough,91.0
Acute bronchiolitis,decreased_appetite,18.0
Acute bronchiolitis,difficulty_breathing,56.0
Acute bronchiolitis,fever,78.0
Acute bronchiolitis,hurts_to_breath,8.0
Acute bronchiolitis,irritable_infant,13.0
Acute bronchiolitis,nasal_congestion,76.0
Acute bronchiolitis,pulling_at_ears,12.0
Acute bronchiolitis,shortness_of_breath,33.0
Acute bronchiolitis,vomiting,42.0
Acute bronchiolitis,wheezing,59.0
Acute bronchitis,congestion_in_chest,33.0
Acute bronchitis,coryza,49.0
Acute bronchitis,cough,92.0
Acute bronchitis,coughing_up_sputum,37.0
Acute bronchitis,difficulty_breathing,30.0
Acute bronchitis,fever,63.0
Acute bronchitis,headache,32.0
Acute bronchitis,nasal_congestion,66.0
Acute bronchitis,sharp_chest_pain,46.0
Acute bronchitis,shortness_of_breath,52.0
Acute bronchitis,sore_throat,55.0
Acute bronchitis,wheezing,27.0
Acute bronchospasm,chest_tightness,22.0
Acute bronchospasm,coryza,31.0
Acute bronchospasm,cough,89.0
Acute bronchospasm,difficulty_breathing,58.0
Acute bronchospasm,fever,59.0
Acute bronchospasm,headache,26.0
Acute bronchospasm,nasal_congestion,57.0
Acute bronchospasm,sharp_chest_pain,40.0
Acute bronchospasm,shortness_of_breath,74.0
Acute bronchospasm,sore_throat,33.0
Acute bronchospasm,vomiting,26.0
Acute bronchospasm,wheezing,63.0
Acute fatty liver of pregnancy (AFLP),cross_eyed,4.0
Acute fatty liver of pregnancy (AFLP),elbow_cramps_or_spasms,4.0
Acute fatty liver of pregnancy (AFLP),elbow_weakness,4.0
Acute fatty liver of pregnancy (AFLP),emotional_symptoms,4.0
Acute fatty liver of pregnancy (AFLP),eye_strain,4.0
Acute fatty liver of pregnancy (AFLP),hip_stiffness_or_tightness,4.0
Acute fatty liver of pregnancy (AFLP),itching_of_skin,51.0
Acute fatty liver of pregnancy (AFLP),itchy_eyelid,4.0
Acute fatty liver of pregnancy (AFLP),nailbiting,4.0
Acute fatty liver of pregnancy (AFLP),pain_during_pregnancy,51.0
Acute fatty liver of pregnancy (AFLP),sharp_abdominal_pain,51.0
Acute fatty liver of pregnancy (AFLP),wrist_weakness,4.0
Acute glaucoma,blindness,10.0
Acute glaucoma,diminished_vision,62.0
Acute glaucoma,double_vision,5.0
Acute glaucoma,eye_burns_or_stings,5.0
Acute glaucoma,eye_redness,28.0
Acute glaucoma,foreign_body_sensation_in_eye,18.0
Acute glaucoma,itchiness_of_eye,18.0
Acute glaucoma,lacrimation,5.0
Acute glaucoma,pain_in_eye,41.0
Acute glaucoma,spots_or_clouds_in_vision,22.0
Acute glaucoma,symptoms_of_eye,36.0
Acute kidney injury,blood_in_urine,13.0
Acute kidney injury,dizziness,29.0
Acute kidney injury,kidney_mass,20.0
Acute kidney injury,nausea,27.0
Acute kidney injury,peripheral_edema,14.0
Acute kidney injury,retention_of_urine,13.0
Acute kidney injury,sharp_abdominal_pain,26.0
Acute kidney injury,sharp_chest_pain,25.0
Acute kidney injury,shortness_of_breath,41.0
Acute kidney injury,symptoms_of_the_kidneys,18.0
Acute kidney injury,vomiting,30.0
Acute kidney injury,weakness,39.0
Acute otitis media,coryza,35.0
Acute otitis media,cough,67.0
Acute otitis media,diminished_hearing,24.0
Acute otitis media,ear_pain,84.0
Acute otitis media,fever,70.0
Acute otitis media,fluid_in_ear,42.0
Acute otitis media,nasal_congestion,58.0
Acute otitis media,plugged_feeling_in_ear,20.0
Acute otitis media,pulling_at_ears,35.0
Acute otitis media,redness_in_ear,46.0
Acute otitis media,sore_throat,40.0
Acute otitis media,vomiting,24.0
Acute pancreatitis,abusing_alcohol,14.0
Acute pancreatitis,back_pain,25.0
Acute pancreatitis,burning_abdominal_pain,30.0
Acute pancreatitis,diarrhea,38.0
Acute pancreatitis,hemoptysis,6.0
Acute pancreatitis,lower_body_pain,11.0
Acute pancreatitis,nausea,65.0
Acute pancreatitis,sharp_abdominal_pain,89.0
Acute pancreatitis,sharp_chest_pain,37.0
Acute pancreatitis,side_pain,19.0
Acute pancreatitis,upper_abdominal_pain,49.0
Acute pancreatitis,vomiting,72.0
Acute respiratory distress syndrome (ARDS),chest_tightness,11.0
Acute respiratory distress syndrome (ARDS),chills,9.0
Acute respiratory distress syndrome (ARDS),congestion_in_chest,9.0
Acute respiratory distress syndrome (ARDS),cough,45.0
Acute respiratory distress syndrome (ARDS),coughing_up_sputum,9.0
Acute respiratory distress syndrome (ARDS),depressive_or_psychotic_symptoms,35.0
Acute respiratory distress syndrome (ARDS),difficulty_breathing,72.0
Acute respiratory distress syndrome (ARDS),fever,32.0
Acute respiratory distress syndrome (ARDS),hurts_to_breath,11.0
Acute respiratory distress syndrome (ARDS),sharp_chest_pain,39.0
Acute respiratory distress syndrome (ARDS),shortness_of_breath,84.0
Acute respiratory distress syndrome (ARDS),wheezing,20.0
Acute sinusitis,coryza,52.0
Acute sinusitis,cough,81.0
Acute sinusitis,coughing_up_sputum,23.0
Acute sinusitis,ear_pain,49.0
Acute sinusitis,facial_pain,26.0
Acute sinusitis,fever,51.0
Acute sinusitis,frontal_headache,56.0
Acute sinusitis,headache,66.0
Acute sinusitis,nasal_congestion,75.0
Acute sinusitis,painful_sinuses,29.0
Acute sinusitis,sinus_congestion,37.0
Acute sinusitis,sore_throat,66.0
Acute stress reaction,abnormal_involuntary_movements,17.0
Acute stress reaction,anxiety_and_nervousness,77.0
Acute stress reaction,burning_abdominal_pain,21.0
Acute stress reaction,chest_tightness,17.0
Acute stress reaction,depression,42.0
Acute stress reaction,depressive_or_psychotic_symptoms,43.0
Acute stress reaction,dizziness,32.0
Acute stress reaction,fatigue,25.0
Acute stress reaction,headache,45.0
Acute stress reaction,insomnia,34.0
Acute stress reaction,sharp_chest_pain,47.0
Acute stress reaction,shortness_of_breath,30.0
Adhesive capsulitis of the shoulder,ache_all_over,29.0
Adhesive capsulitis of the shoulder,ankle_stiffness_or_tightness,7.0
Adhesive capsulitis of the shoulder,arm_pain,19.0
Adhesive capsulitis of the shoulder,elbow_pain,19.0
Adhesive capsulitis of the shoulder,muscle_pain,7.0
Adhesive capsulitis of the shoulder,neck_pain,33.0
Adhesive capsulitis of the shoulder,shoulder_pain,94.0
Adhesive capsulitis of the shoulder,shoulder_stiffness_or_tightness,56.0
Adhesive capsulitis of the shoulder,shoulder_swelling,7.0
Adhesive capsulitis of the shoulder,skin_on_arm_or_hand_looks_infected,7.0
Adhesive capsulitis of the shoulder,stiffness_all_over,7.0
Adjustment reaction,anxiety_and_nervousness,59.0
Adjustment reaction,delusions_or_hallucinations,8.0
Adjustment reaction,depression,60.0
Adjustment reaction,depressive_or_psychotic_symptoms,60.0
Adjustment reaction,excessive_anger,22.0
Adjustment reaction,fears_and_phobias,6.0
Adjustment reaction,hostile_behavior,18.0
Adjustment reaction,insomnia,15.0
Adjustment reaction,low_self_esteem,15.0
Adjustment reaction,nightmares,2.0
Adjustment reaction,restlessness,5.0
Adjustment reaction,temper_problems,8.0
Adrenal adenoma,ache_all_over,26.0
Adrenal adenoma,anxiety_and_nervousness,41.0
Adrenal adenoma,back_pain,26.0
Adrenal adenoma,back_weakness,2.0
Adrenal adenoma,constipation,26.0
Adrenal adenoma,elbow_cramps_or_spasms,2.0
Adrenal adenoma,low_back_weakness,2.0
Adrenal adenoma,muscle_swelling,2.0
Adrenal adenoma,pus_in_sputum,2.0
Adrenal adenoma,sharp_abdominal_pain,60.0
Adrenal adenoma,sharp_chest_pain,41.0
Adrenal adenoma,shortness_of_breath,26.0
Adrenal cancer,chills,16.0
Adrenal cancer,cough,27.0
Adrenal cancer,diaper_rash,16.0
Adrenal cancer,diminished_hearing,16.0
Adrenal cancer,dizziness,27.0
Adrenal cancer,nosebleed,16.0
Adrenal cancer,skin_rash,27.0
Adrenal cancer,sweating,16.0
Air embolism,ankle_pain,91.0
Air embolism,excessive_anger,91.0
Air embolism,excessive_urination_at_night,91.0
Air embolism,facial_pain,91.0
Air embolism,fatigue,91.0
Air embolism,joint_stiffness_or_tightness,91.0
Air embolism,knee_lump_or_mass,91.0
Air embolism,pain_during_pregnancy,91.0
Air embolism,pain_in_eye,91.0
Air embolism,pain_or_soreness_of_breast,91.0
Air embolism,shoulder_cramps_or_spasms,91.0
Air embolism,wrist_pain,91.0
Alcohol abuse,abusing_alcohol,75.0
Alcohol abuse,anxiety_and_nervousness,27.0
Alcohol abuse,delusions_or_hallucinations,8.0
Alcohol abuse,depression,38.0
Alcohol abuse,depressive_or_psychotic_symptoms,49.0
Alcohol abuse,drug_abuse,41.0
Alcohol abuse,excessive_anger,4.0
Alcohol abuse,hostile_behavior,8.0
Alcohol abuse,low_self_esteem,1.0
Alcohol abuse,slurring_words,2.0
Alcohol abuse,smoking_problems,2.0
Alcohol abuse,vomiting_blood,4.0
Alcohol intoxication,abnormal_involuntary_movements,21.0
Alcohol intoxication,abusing_alcohol,79.0
Alcohol intoxication,anxiety_and_nervousness,25.0
Alcohol intoxication,delusions_or_hallucinations,17.0
Alcohol intoxication,depression,32.0
Alcohol intoxication,depressive_or_psychotic_symptoms,60.0
Alcohol intoxication,fainting,21.0
Alcohol intoxication,nausea,25.0
Alcohol intoxication,problems_with_movement,17.0
Alcohol intoxication,sharp_abdominal_pain,29.0
Alcohol intoxication,sharp_chest_pain,29.0
Alcohol intoxication,vomiting,41.0
Alcohol withdrawal,abnormal_involuntary_movements,55.0
Alcohol withdrawal,abusing_alcohol,67.0
Alcohol withdrawal,antisocial_behavior,20.0
Alcohol withdrawal,delusions_or_hallucinations,18.0
Alcohol withdrawal,depressive_or_psychotic_symptoms,36.0
Alcohol withdrawal,dizziness,29.0
Alcohol withdrawal,fainting,15.0
Alcohol withdrawal,nausea,36.0
Alcohol withdrawal,seizures,66.0
Alcohol withdrawal,sharp_chest_pain,27.0
Alcohol withdrawal,vomiting,31.0
Alcohol withdrawal,weakness,29.0
Alcoholic liver disease,abdominal_distention,28.0
Alcoholic liver disease,abnormal_involuntary_movements,22.0
Alcoholic liver disease,abusing_alcohol,50.0
Alcoholic liver disease,blood_in_stool,22.0
Alcoholic liver disease,diarrhea,28.0
Alcoholic liver disease,kidney_mass,9.0
Alcoholic liver disease,peripheral_edema,37.0
Alcoholic liver disease,sharp_abdominal_pain,61.0
Alcoholic liver disease,stomach_bloating,9.0
Alcoholic liver disease,upper_abdominal_pain,16.0
Alcoholic liver disease,vomiting_blood,22.0
Alcoholic liver disease,weight_gain,16.0
Allergy,abnormal_appearing_skin,27.0
Allergy,allergic_reaction,65.0
Allergy,cough,26.0
Allergy,fluid_retention,9.0
Allergy,itchiness_of_eye,10.0
Allergy,itching_of_skin,61.0
Allergy,lip_swelling,20.0
Allergy,peripheral_edema,28.0
Allergy,skin_rash,85.0
Allergy,skin_swelling,13.0
Allergy,swollen_eye,24.0
Allergy,swollen_tongue,9.0
Allergy to animals,abnormal_appearing_skin,49.0
Allergy to animals,acne_or_pimples,49.0
Allergy to animals,allergic_reaction,77.0
Allergy to animals,cough,67.0
Allergy to animals,cross_eyed,4.0
Allergy to animals,fever,49.0
Allergy to animals,itchiness_of_eye,67.0
Allergy to animals,nasal_congestion,88.0
Allergy to animals,peripheral_edema,49.0
Allergy to animals,smoking_problems,49.0
Allergy to animals,sore_throat,49.0
Allergy to animals,wrist_weakness,4.0
Alopecia,abnormal_appearing_skin,19.0
Alopecia,acne_or_pimples,16.0
Alopecia,dry_or_flaky_scalp,16.0
Alopecia,feeling_ill,10.0
Alopecia,irregular_appearing_scalp,28.0
Alopecia,itching_of_skin,13.0
Alopecia,itchy_scalp,13.0
Alopecia,skin_dryness_peeling_scaliness_or_roughness,13.0
Alopecia,skin_growth,7.0
Alopecia,skin_rash,26.0
Alopecia,skin_swelling,19.0
Alopecia,too_little_hair,94.0
Alzheimer disease,delusions_or_hallucinations,10.0
Alzheimer disease,depression,32.0
Alzheimer disease,depressive_or_psychotic_symptoms,38.0
Alzheimer disease,difficulty_speaking,9.0
Alzheimer disease,disturbance_of_memory,73.0
Alzheimer disease,eye_burns_or_stings,2.0
Alzheimer disease,fears_and_phobias,2.0
Alzheimer disease,hostile_behavior,15.0
Alzheimer disease,irregular_appearing_scalp,4.0
Alzheimer disease,muscle_cramps_contractures_or_spasms,2.0
Alzheimer disease,problems_with_movement,15.0
Alzheimer disease,restlessness,4.0
Amblyopia,abnormal_movement_of_eyelid,6.0
Amblyopia,cross_eyed,11.0
Amblyopia,diminished_vision,70.0
Amblyopia,eye_deviation,33.0
Amblyopia,eye_moves_abnormally,6.0
Amblyopia,foreign_body_sensation_in_eye,11.0
Amblyopia,itchiness_of_eye,6.0
Amblyopia,neck_stiffness_or_tightness,6.0
Amblyopia,pain_in_eye,23.0
Amblyopia,pus_draining_from_ear,6.0
Amblyopia,spots_or_clouds_in_vision,11.0
Amblyopia,white_discharge_from_eye,6.0
Amyloidosis,abnormal_appearing_skin,43.0
Amyloidosis,anxiety_and_nervousness,43.0
Amyloidosis,congestion_in_chest,43.0
Amyloidosis,eye_strain,3.0
Amyloidosis,fatigue,43.0
Amyloidosis,feeling_hot_and_cold,3.0
Amyloidosis,fever,43.0
Amyloidosis,nailbiting,3.0
Amyloidosis,shortness_of_breath,72.0
Amyloidosis,symptoms_of_the_kidneys,43.0
Amyloidosis,weakness,43.0
Amyloidosis,wrist_weakness,3.0
Amyotrophic lateral sclerosis (ALS),abnormal_involuntary_movements,37.0
Amyotrophic lateral sclerosis (ALS),back_pain,37.0
Amyotrophic lateral sclerosis (ALS),difficulty_in_swallowing,30.0
Amyotrophic lateral sclerosis (ALS),difficulty_speaking,42.0
Amyotrophic lateral sclerosis (ALS),fatigue,22.0
Amyotrophic lateral sclerosis (ALS),hand_or_finger_weakness,30.0
Amyotrophic lateral sclerosis (ALS),leg_cramps_or_spasms,22.0
Amyotrophic lateral sclerosis (ALS),leg_pain,30.0
Amyotrophic lateral sclerosis (ALS),leg_weakness,42.0
Amyotrophic lateral sclerosis (ALS),muscle_weakness,22.0
Amyotrophic lateral sclerosis (ALS),problems_with_movement,37.0
Amyotrophic lateral sclerosis (ALS),weakness,58.0
Anal fissure,blood_in_stool,65.0
Anal fissure,changes_in_stool_appearance,20.0
Anal fissure,constipation,44.0
Anal fissure,cramps_and_spasms,6.0
Anal fissure,irregular_belly_button,6.0
Anal fissure,itchiness_of_eye,6.0
Anal fissure,lower_body_pain,11.0
Anal fissure,pain_of_the_anus,75.0
Anal fissure,rectal_bleeding,80.0
Anal fissure,sharp_abdominal_pain,33.0
Anal fissure,symptoms_of_prostate,6.0
Anal fissure,vaginal_dryness,6.0
Anal fistula,blood_in_stool,33.0
Anal fistula,constipation,14.0
Anal fistula,discharge_in_stools,14.0
Anal fistula,incontinence_of_stool,14.0
Anal fistula,low_back_cramps_or_spasms,14.0
Anal fistula,lower_body_pain,14.0
Anal fistula,mass_in_scrotum,14.0
Anal fistula,mass_or_swelling_around_the_anus,14.0
Anal fistula,pain_of_the_anus,71.0
Anal fistula,rectal_bleeding,24.0
Anal fistula,sharp_abdominal_pain,33.0
Anemia,changes_in_stool_appearance,2.0
Anemia,dizziness,27.0
Anemia,fatigue,32.0
Anemia,heavy_menstrual_flow,8.0
Anemia,melena,4.0
Anemia,nosebleed,8.0
Anemia,recent_pregnancy,2.0
Anemia,shortness_of_breath,26.0
Anemia,too_little_hair,2.0
Anemia,unpredictable_menstruation,3.0
Anemia,vomiting_blood,3.0
Anemia,weakness,28.0
Anemia due to chronic kidney disease,ankle_swelling,10.0
Anemia due to chronic kidney disease,fatigue,67.0
Anemia due to chronic kidney disease,feeling_cold,5.0
Anemia due to chronic kidney disease,melena,5.0
Anemia due to chronic kidney disease,peripheral_edema,14.0
Anemia due to chronic kidney disease,polyuria,5.0
Anemia due to chronic kidney disease,recent_weight_loss,5.0
Anemia due to chronic kidney disease,shortness_of_breath,24.0
Anemia due to chronic kidney disease,symptoms_of_the_kidneys,5.0
Anemia due to chronic kidney disease,weakness,38.0
Anemia due to malignancy,difficulty_in_swallowing,15.0
Anemia due to malignancy,fatigue,42.0
Anemia due to malignancy,flatulence,8.0
Anemia due to malignancy,hot_flashes,8.0
Anemia due to malignancy,mouth_pain,8.0
Anemia due to malignancy,nosebleed,8.0
Anemia due to malignancy,pain_of_the_anus,8.0
Anemia due to malignancy,shortness_of_breath,35.0
Anemia due to malignancy,vaginal_pain,8.0
Anemia of chronic disease,chills,20.0
Anemia of chronic disease,coryza,20.0
Anemia of chronic disease,diarrhea,34.0
Anemia of chronic disease,dizziness,34.0
Anemia of chronic disease,emotional_symptoms,1.0
Anemia of chronic disease,fatigue,34.0
Anemia of chronic disease,feeling_ill,20.0
Anemia of chronic disease,itching_of_skin,20.0
Anemia of chronic disease,low_back_weakness,1.0
Anemia of chronic disease,vomiting,34.0
Anemia of chronic disease,weakness,52.0
Anemia of chronic disease,weight_gain,20.0
Angina,arm_pain,28.0
Angina,burning_chest_pain,2.0
Angina,chest_tightness,40.0
Angina,dizziness,31.0
Angina,hot_flashes,2.0
Angina,increased_heart_rate,4.0
Angina,irregular_heartbeat,7.0
Angina,lower_body_pain,15.0
Angina,palpitations,11.0
Angina,sharp_chest_pain,92.0
Angina,shortness_of_breath,59.0
Angina,sweating,8.0
Ankylosing spondylitis,ache_all_over,24.0
Ankylosing spondylitis,back_pain,74.0
Ankylosing spondylitis,elbow_pain,20.0
Ankylosing spondylitis,hip_pain,57.0
Ankylosing spondylitis,joint_pain,11.0
Ankylosing spondylitis,knee_pain,28.0
Ankylosing spondylitis,leg_pain,52.0
Ankylosing spondylitis,low_back_pain,72.0
Ankylosing spondylitis,lower_body_pain,16.0
Ankylosing spondylitis,paresthesia,11.0
Ankylosing spondylitis,rib_pain,11.0
Ankylosing spondylitis,stiffness_all_over,6.0
Anxiety,abnormal_involuntary_movements,12.0
Anxiety,anxiety_and_nervousness,82.0
Anxiety,depression,43.0
Anxiety,depressive_or_psychotic_symptoms,35.0
Anxiety,fears_and_phobias,6.0
Anxiety,headache,27.0
Anxiety,increased_heart_rate,5.0
Anxiety,insomnia,24.0
Anxiety,irregular_heartbeat,9.0
Anxiety,palpitations,13.0
Anxiety,sharp_chest_pain,38.0
Anxiety,shortness_of_breath,29.0
Aortic valve disease,difficulty_breathing,28.0
Aortic valve disease,fainting,16.0
Aortic valve disease,fatigue,32.0
Aortic valve disease,groin_mass,3.0
Aortic valve disease,increased_heart_rate,8.0
Aortic valve disease,irregular_heartbeat,8.0
Aortic valve disease,leg_cramps_or_spasms,8.0
Aortic valve disease,lymphedema,10.0
Aortic valve disease,palpitations,18.0
Aortic valve disease,peripheral_edema,14.0
Aortic valve disease,sharp_chest_pain,32.0
Aortic valve disease,shortness_of_breath,54.0
Aphakia,diminished_vision,73.0
Aphakia,eye_burns_or_stings,12.0
Aphakia,eye_redness,28.0
Aphakia,itchiness_of_eye,28.0
Aphakia,mass_on_eyelid,12.0
Aphakia,pain_in_eye,28.0
Aphakia,spots_or_clouds_in_vision,21.0
Aphakia,symptoms_of_eye,28.0
Aphthous ulcer,ache_all_over,30.0
Aphthous ulcer,cough,24.0
Aphthous ulcer,fever,59.0
Aphthous ulcer,headache,30.0
Aphthous ulcer,lip_sore,30.0
Aphthous ulcer,mouth_pain,47.0
Aphthous ulcer,mouth_ulcer,82.0
Aphthous ulcer,skin_rash,30.0
Aphthous ulcer,sore_throat,54.0
Aphthous ulcer,swollen_tongue,24.0
Aphthous ulcer,tongue_lesions,44.0
Aphthous ulcer,toothache,40.0
Aplastic anemia,fatigue,41.0
Aplastic anemia,feeling_cold,6.0
Aplastic anemia,fever,36.0
Aplastic anemia,fluid_retention,6.0
Aplastic anemia,hot_flashes,6.0
Aplastic anemia,lack_of_growth,6.0
Aplastic anemia,leg_weakness,6.0
Aplastic anemia,mouth_dryness,6.0
Aplastic anemia,nausea,25.0
Aplastic anemia,slurring_words,12.0
Aplastic anemia,vomiting_blood,6.0
Aplastic anemia,weakness,29.0
Appendicitis,burning_abdominal_pain,41.0
Appendicitis,chills,11.0
Appendicitis,decreased_appetite,11.0
Appendicitis,diarrhea,25.0
Appendicitis,fever,44.0
Appendicitis,lower_abdominal_pain,64.0
Appendicitis,nausea,54.0
Appendicitis,sharp_abdominal_pain,91.0
Appendicitis,side_pain,29.0
Appendicitis,stomach_bloating,5.0
Appendicitis,upper_abdominal_pain,20.0
Appendicitis,vomiting,57.0
Arrhythmia,chest_tightness,27.0
Arrhythmia,difficulty_breathing,31.0
Arrhythmia,dizziness,48.0
Arrhythmia,fainting,31.0
Arrhythmia,fatigue,21.0
Arrhythmia,increased_heart_rate,33.0
Arrhythmia,irregular_heartbeat,48.0
Arrhythmia,leg_cramps_or_spasms,2.0
Arrhythmia,palpitations,61.0
Arrhythmia,sharp_chest_pain,50.0
Arrhythmia,shortness_of_breath,33.0
Arrhythmia,weakness,31.0
Arthritis of the hip,ache_all_over,24.0
Arthritis of the hip,back_pain,41.0
Arthritis of the hip,groin_pain,20.0
Arthritis of the hip,hip_pain,93.0
Arthritis of the hip,hip_stiffness_or_tightness,3.0
Arthritis of the hip,joint_pain,9.0
Arthritis of the hip,knee_pain,37.0
Arthritis of the hip,leg_pain,56.0
Arthritis of the hip,low_back_pain,43.0
Arthritis of the hip,lower_body_pain,14.0
Arthritis of the hip,pelvic_pain,10.0
Arthritis of the hip,problems_with_movement,13.0
Ascending cholangitis,diarrhea,51.0
Ascending cholangitis,fever,69.0
Ascending cholangitis,jaundice,62.0
Ascending cholangitis,nausea,62.0
Ascending cholangitis,painful_urination,33.0
Ascending cholangitis,retention_of_urine,33.0
Ascending cholangitis,sharp_abdominal_pain,85.0
Ascending cholangitis,shortness_of_breath,51.0
Ascending cholangitis,stomach_bloating,33.0
Ascending cholangitis,upper_abdominal_pain,51.0
Ascending cholangitis,vaginal_itching,33.0
Ascending cholangitis,vomiting,51.0
Asperger syndrome,antisocial_behavior,12.0
Asperger syndrome,anxiety_and_nervousness,53.0
Asperger syndrome,delusions_or_hallucinations,8.0
Asperger syndrome,depression,36.0
Asperger syndrome,depressive_or_psychotic_symptoms,60.0
Asperger syndrome,excessive_anger,4.0
Asperger syndrome,fainting,15.0
Asperger syndrome,hostile_behavior,8.0
Asperger syndrome,lack_of_growth,18.0
Asperger syndrome,nightmares,4.0
Asperger syndrome,obsessions_and_compulsions,4.0
Asperger syndrome,temper_problems,18.0
Aspergillosis,diminished_hearing,77.0
Aspergillosis,excessive_growth,11.0
Aspergillosis,knee_lump_or_mass,11.0
Aspergillosis,loss_of_sex_drive,11.0
Aspergillosis,nailbiting,11.0
Aspergillosis,neck_cramps_or_spasms,11.0
Aspergillosis,sharp_abdominal_pain,77.0
Aspergillosis,shortness_of_breath,77.0
Aspergillosis,shoulder_swelling,11.0
